Waypoint Title	URL	Captive URL	Annotation Title	Annotation Text	Share View	Annotation Picture Path	Credits	Author	Dateline	Story Mode	Landscape override														
Forest Loss			Forest Loss and Gain	This static data overlay shows how recently areas have experienced forest loss between 2000 (shown in yellow) and 2015 (shown in red).	https://earthtime.org/#theme=deforestation&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=2.20103,100.11238,8.11,latLng&t=0.00&ps=0&t=3.1&bt=20150101&et=20151231&l=blsat,fly&startDwell=0																				
Intervention				Notice the green areas of the Amazon with no forest disturbance. Intervention has helped preserve these areas.	https://earthtime.org/#theme=big_picture_on_nature&v=-12.65199,-60.4751,5.474,latLng&t=0.93&ps=0&t=3.1&bt=20150101&et=20151231&l=blsat,fly&startDwell=0																				
Protected Areas			Protected Areas 	The green outlines represent terrestrial Protected Areas. Indigenous peoples and their resources are threatened by encroachment, so well-planned and justly governed protected areas promote a sustainable ecosystem and resilient livelihoods for many communities.	https://earthtime.org/#theme=big_picture_on_nature&v=-12.65199,-60.4751,5.474,latLng&t=0.93&ps=0&t=3.1&bt=20150101&et=20151231&l=blsat,fly,wdpa&startDwell=0																				
Surui People				The center area represents the land of the Surui indigenous people being encroached from the south by developers.  As a solution, many of the Surui have moved close to the borders in an attempt to prevent further encroachment. Recognizing and supporting indigenous land rights can help preserve forests and communities.	https://earthtime.org/#theme=deforestation&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=-11.05,-61.18179,8.7,latLng&t=3.29&ps=90&l=blsat,wdpa&bt=19840101&et=20161231&startDwell=0																				
																									
##Glaciers	https://earthtime.org/stories/Glaciers	https://earthtime.org/m/stories/Glaciers	Glaciers	Explore Trends in Glacier Retreat and Accelerated Ice Melting	https://earthtime.org/#theme=glaciers&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=61.07595,-147.06482,9.31,latLng&t=0.00&ps=50&l=blsat&rebuild=1&story=default&bt=19840101&et=20161231			Story by: Sara Longo & Ryan Hoffman, CREATE Lab <br> Data from: USGS, Google		TRUE															
Columbia Glacier			Columbia Glacier	The Columbia Glacier is located in the Prince William Sound on the south coast of Alaska.	https://earthtime.org/#theme=glaciers&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=61.07595,-147.06482,9.31,latLng&t=0.00&ps=50&l=blsat&rebuild=1&story=default&bt=19840101&et=20161231																				
Accelerated Melting				Over the past 30 years, it has retreated more than 20 km (12.5 mi) to the north and lost about half of its thickness and volume, partially due to rising temperatures, making it one of the fastest changing glaciers in the world.	https://earthtime.org/#theme=glaciers&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=61.07595,-147.06482,9.31,latLng&t=0.00&ps=50&l=blsat&rebuild=1&story=default&bt=19840101&et=20161231																				
Columbia Retreat				While changes to the glacier have affected the global sea level rise, its thinning and retreat are not exclusively due to climate change. Other natural processes are also to blame for its changing state. It is likely that once the Columbia reaches the shoreline, its retreat will slow.	https://earthtime.org/#theme=glaciers&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=61.07595,-147.06482,9.31,latLng&t=0.88&ps=50&l=blsat																				
Mendenhall Glacier			Mendenhall Glacier 	The Mendenhall Glacier is located 21 km (13 mi) from Juneau, Alaska (US). As a popular tourist attraction, the glacier is 805 meters (half a mile) wide and up to 550 meters (1,800 feet) deep. It terminates into the Mendenhall lake, which was created in the 1930's from the glacier's melting ice.	https://earthtime.org/#theme=glaciers&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=58.44021,-134.56395,10.41,latLng&t=3.15&ps=50&l=blsat&bt=19840101&et=20161231																				
Iceland				Iceland's Breidamerkurjökull, part of the largest ice cap in Europe, has receded by 2 km (1.2 mi) since 1973. Breidamerkurjökull is an outlet glacier, so as icebergs break away, they drift slowly to the mouth of the Jökulsárlón lagoon and eventually join the ocean.	https://earthtime.org/#theme=big_picture_on_nature&story=default&v=64.12444,-16.36689,9.415,latLng&t=3.24&ps=50&l=blsat&bt=19840101&et=20161231																				
Mount Kilimanjaro 				The Furtwangler glacier tops Mount Kilimanjaro and is the highest point in Africa. In 1912, the ice cap covered 11.4 sq km (4.4 sq mi). By 2011 this had been reduced by 85% to 1.76 sq km (0.68 sq mi). Most of this glacial loss is attributed to warmer global temperature.	https://earthtime.org/#theme=big_picture_on_nature&story=default&v=-3.06742,37.35563,10,latLng&t=0.03&ps=50&l=blsat&bt=19840101&et=20161231&reboot=1																				
Pine Island Glacier				Pine Island Glacier is one of the largest ice streams in Antarctica. It flows into the Amundsen Sea embayment in West Antarctica.  The glacier’s rapid thinning and receding contribute directly to sea level rise.	https://earthtime.org/#theme=big_picture_on_nature&story=default&v=-74.88242,-102.13624,5.285,latLng&t=1.14&ps=50&l=blsat&bt=19840101&et=20161231&rebuild=1&rebuild=1																				
																									
##Renewables	https://earthtime.org/stories/Renewables	https://earthtime.org/m/stories/Renewables	Renewables	The Recent Rise of Renewable Energy Sources: Wind, Solar PV and Solar Farms	https://earthtime.org/#theme=big_picture_on_nature&v=42.06872,-1.70588,0.205,latLng&t=3.25&l=bdrk,gwp&ps=25&bt=19840101&et=20181231&startDwell=0&endDwell=1.0&story=default		NREL, USGS, Google	Story by: Ryan Hoffman, CREATE Lab <br> Data from: NREL, USGS, Google, GlobalData																	
Global Wind Power			Global Wind Power	This dataset represents the rise of wind power installations globally, represented in green dots.	https://earthtime.org/#theme=big_picture_on_nature&v=42.06872,-1.70588,0.205,latLng&t=3.25&l=bdrk,gwp&ps=25&bt=19840101&et=20181231&startDwell=0&endDwell=1.0&story=default																				
European Wind				Notice the steady increase of wind installations throughout the 1990's in Germany and the Netherlands, and more widespread adoption throughout Europe in present day.	https://earthtime.org/#theme=big_picture_on_nature&v=51.15346,9.30211,4,latLng&t=3.45&l=bdrk,gwp&ps=25&bt=19840101&et=20181231&startDwell=0&endDwell=1.0&story=default&rebuild=1																				
India, China, Japan				Notice a similar trend along the coasts of India, China, and Japan.	https://earthtime.org/#theme=big_picture_on_nature&v=32.2692,103.87043,1.732,latLng&t=2.81&l=bdrk,gwp&ps=25&bt=19840101&et=20181231&startDwell=0&endDwell=1.0&story=default&rebuild=1																				
US Wind				The US has a seen a steep rise in wind power installations in recent years, most prevalent across the Midwest and on the coasts.	https://earthtime.org/#theme=renewables&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=39.68237,-97.4215,2.248,latLng&t=0.00&startDwell=0&endDwell=1.0ps&l=bdrk,wp&story=default&bt=19840101&et=20161231&ps=25																				
US Wind & Solar 			US Wind and Solar 	US wind power installations are represented in green and solar photovoltaic (PV) installations in white/blue.	https://earthtime.org/#theme=renewables&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=39.68237,-97.4215,2.248,latLng&t=3.24&startDwell=0&endDwell=1.0ps&l=bdrk,sp,wp&story=default&bt=19840101&et=20161231&ps=25																				
Solar PV			Solar PV 	Notice how installations start on the coasts and make their way inland, increasing in frequency after 2000.	https://earthtime.org/#theme=renewables&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=39.68237,-97.4215,2.248,latLng&t=0.38&startDwell=0&endDwell=1.0ps&l=bdrk,sp&story=default&bt=19840101&et=20161231&ps=25																				
Rhode Island			Policy	Rhode Island is the last state in the northeastern region to adopt widespread solar installations. In 2016, Rhode Island adopted new renewable energy standards aimed at promoting more solar friendly policies.	https://earthtime.org/#theme=renewables&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=41.78484,-71.8608,5.833,latLng&t=0.00&startDwell=0&endDwell=1.0ps&l=bdrk,sp&story=default&ps=25&bt=19840101&et=20161231&rebuild=1																				
California				Beginning in 2010, open areas of farmland in Southern California host many miles of solar PV cells. Notice the landscape change to solar farms. 	https://earthtime.org/#theme=renewables&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=34.81378,-118.389,10.41,latLng&t=0.00&ps=25&startDwell=0&endDwell=1.0&l=blsat&bt=20050101																				
Solar Star			Large Scale Solar Power 	Solar Star is a 579-megawatt solar project near Rosamond, California that can power 255,000 homes. When it went operational in June 2015, it was the largest photovoltaic power plant on the planet; a title it wouldn't hold for more than a year.  	https://earthtime.org/#theme=renewables&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=34.81424,-118.39094,10.41,latLng&t=3.25&ps=25&startDwell=0&endDwell=1.0l&story=default&l=blsat&bt=20050101&et=20161231																				
Topaz Solar Farm			Topaz Solar Farm	In San Luis Obispo, California, the 550-megawatt Topaz Solar Farm produces sufficient electricity to power 160,000 average California homes, and also once held the title of the largest solar plant on Earth.	https://earthtime.org/#theme=renewables&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=35.37526,-120.04139,10.41,latLng&t=3.20&startDwell=0&endDwell=1.0ps&l=blsat&story=default&ps=25&bt=20050101&et=20161231																				
Longyangxia 			Longyangxia 	The 850-megawatt Longyangxia Dam Solar Park is located in the western province of Qinghai, China and has the capacity to power up to 200,000 households. It occupies 27 sq km (10.42 sq mi), containing nearly 4 million solar panels.	https://earthtime.org/#theme=renewables&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=36.1476,100.57355,10.21,latLng&t=3.30&ps=0&startDwell=0&endDwell=1.0l&story=default&l=blsat&bt=20050101&et=20161231&ps=25																				
Tengger			Tengger	As of 2017, Tengger Desert Solar Park is the largest in the world at 1,500 megawatts. It is located in the Tengger Desert in China and covers over 43 sq km (16 sq mi) of land.	https://earthtime.org/#theme=renewables&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&&v=37.60155,105.08535,10.56,latLng&t=3.30&ps=0&startDwell=0&endDwell=1.0l&story=default&l=blsat&bt=20050101&et=20161231&ps=25																				
																									
##Fires at Night	https://earthtime.org/stories/Fires_at_Night	https://earthtime.org/m/stories/Fires_at_Night	Fires at Night	Fires Visible from Space at Night: Wildfires, Industry Fires, and Agricultural Fires	https://earthtime.org/#theme=fires_at_night&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=24.27665,5.605,0.69,latLng&t=47.03&ps=100&l=bdrk,viirs&startDwell=0			Story by: John Amos, SkyTruth <br> Data from: NOAA, USGC, Google		TRUE															
Global Heat Signals			Global Heat Signals	The Global Heat Signals data layer is derived from NOAA’s Nightfire dataset, in which satellites measure brightness and temperature on the ground to create a global map of active combustion sources such as wildfires and industry fires.	https://earthtime.org/#theme=fires_at_night&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=24.27665,5.605,0.69,latLng&t=20.88&ps=100&l=bdrk,viirs&startDwell=0&story=default&bt=20140917&et=20171009																				
Patterns of Fires				Notice the different patterns of fires around the globe.  Some are sweeping while others are perpetual.	https://earthtime.org/#theme=fires_at_night&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=24.27665,5.605,0.69,latLng&t=20.88&ps=100&l=bdrk,viirs&startDwell=0&story=default&bt=20140917&et=20171009																				
Industry Fires			Industry Fires	The "flaring" of natural gas and other flammable chemicals from oil and gas drilling sites often show up as a cluster of fires.  The following views explore locations where almost all of the bright fires indicate drilling sites or facilities where natural gas is being flared. 	https://earthtime.org/#theme=fires_at_night&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=24.27665,5.605,0.69,latLng&t=47.03&ps=100&l=bdrk,viirs&startDwell=0																				
Iraq				In the industrialized desert of southeastern Iraq, notice the north-south line of bright, persistent lights. Their persistence suggests that these are flares from oil fields and associated facilities.	https://earthtime.org/#theme=fires_at_night&waypoints=1RsYPwZ4AVO8JXg16iNeImXFENswTKLlLzOzFmrFM9kk&v=30.41214,47.41299,6.954,latLng&t=80.19&ps=100&bt=20140917&et=20171009&l=bdrk,viirs&story=default&startDwell=0																				
Iraq Clusters				Here is a closer look at the flaring sites in Iraq. Notice the persistent clusters of flickering heat signals. 	https://earthtime.org/#theme=climate_crisis&story=default&v=30.21214,47.41804,10.766,latLng&t=2.50&ps=100&l=blsat,viirs&bt=20140917&et=20171009&startDwell=0																				
Eagle Ford Shale				In the United States, a flickering belt of flares stretches across hundreds of miles of rural south Texas, revealing the boom in drilling and hydraulic fracturing in the Eagle Ford Shale.	https://earthtime.org/#theme=fires_at_night&waypoints=1RsYPwZ4AVO8JXg16iNeImXFENswTKLlLzOzFmrFM9kk&v=28.60502,-98.67087,6.789,latLng&t=44.34&ps=100&bt=20140917&et=20171009&l=bdrk,viirs&story=default&startDwell=0																				
Bakken Shale				In the northern US, the Bakken Shale formation in North Dakota is one of the top oil-producing regions in the United States. In 2014, over 25% of the extracted gas was flared. State regulations have since helped decrease this number to under 10% by 2016.   	https://earthtime.org/#theme=fires_at_night&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=47.60608,-100.44562,4.43,latLng&t=19.60&ps=100&l=bdrk,viirs&startDwell=0																				
Niger Delta			Offshore Drilling	Nigeria is one of the world’s major oil producers, with most of the activity taking place offshore and within the huge Niger Delta. Much of this flaring is in close proximity to homes and has officially been banned since 2005, but with little obvious result. Notice the consistent fires still burning.	https://earthtime.org/#theme=fires_at_night&waypoints=1RsYPwZ4AVO8JXg16iNeImXFENswTKLlLzOzFmrFM9kk&v=4.44309,6.44112,5.954,latLng&t=109.45&ps=100&bt=20140917&et=20171009&l=bdrk,viirs&story=default&startDwell=0																				
Alaska				In northernmost Alaska, along the icy shores of the Beaufort Sea, oil production spans along 140 miles of North Slope, centered around Prudhoe Bay. Notice the gas flaring from drilling sites and other oil-handling infrastructure. 	https://earthtime.org/#theme=fires_at_night&waypoints=1RsYPwZ4AVO8JXg16iNeImXFENswTKLlLzOzFmrFM9kk&v=70.28107,-148.80816,8.125,latLng&t=63.67&ps=100&bt=20140917&et=20171009&l=bdrk,viirs&story=default&startDwell=0																				
Gulf of Mexico				In the US waters of the Gulf of Mexico, thousands of offshore oil and gas platforms are connected to storage and refinery facilities via a vast network of tens of thousands of miles of seafloor pipelines. 	https://earthtime.org/#theme=fires_at_night&waypoints=1RsYPwZ4AVO8JXg16iNeImXFENswTKLlLzOzFmrFM9kk&v=27.94183,-91.19525,5.496,latLng&t=44.00&ps=100&bt=20140917&et=20171009&l=bdrk,viirs&story=default&startDwell=0																				
Brazil				Offshore drilling can also be seen 113 km (70 mi) off of the coast of Brazil, where gas flaring in the Campos Basin oil field lights up the skies. Flaring occurs from oil drilling and production platforms as well as from FPSOs -- floating production, storage and offloading vessels.	https://earthtime.org/#theme=fires_at_night&waypoints=1RsYPwZ4AVO8JXg16iNeImXFENswTKLlLzOzFmrFM9kk&v=-22.61732,-40.5167,7.441,latLng&t=109.66&ps=100&bt=20140917&et=20171009&l=bdrk,viirs&story=default&startDwell=0																				
Africa Crop Burning			Seasonal Crop Burning	Notice the extent of seasonal crop burning in Africa, visible through sweeping fires. This common agricultural technique allows soil to regain nutrients for the next growing season. Notice the crop burning fires in the middle and lower half of the continent.	https://earthtime.org/#theme=fires_at_night&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=2.75448,13.91352,1.841,latLng&t=5.86&ps=100&l=blsat,viirs&story=default&bt=20140917&et=20171009&startDwell=0																				
US Wildfires			Wildfires	Back in the US, forest fires are becoming more damaging in California as a result of warmer, drier summers with little rainfall. Notice the large, bright flashes of light which represent these fires moving across the landscape. 	https://earthtime.org/#theme=fires_at_night&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=37.12089,-119.1873,4.26,latLng&t=19.60&ps=100&l=bdrk,viirs&startDwell=0																				
Indonesia Wildfires				Wildfires in Indonesia destroyed over 6.4 million acres of forest from June to October 2015, causing an air pollution crisis. Illegal burning to clear land for palm oil plantations and conversion and draining of peatland contributed to the intensity of haze from the fires.	https://earthtime.org/#theme=fires_at_night&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=-0.14767,101.6397,3.81,latLng&t=19.60&ps=100&l=bdrk,viirs&startDwell=0																				
																									
##Urban Fragility	https://earthtime.org/stories/Urban_Fragility	https://earthtime.org/m/stories/Urban_Fragility	Urban Fragility	Exploring Threats to Our Cities Using Data	https://earthtime.org/#theme=default&story=default&waypoints=1ObAomZ0Y6t5-ztD6wVibyA1fVC09scfQIzj033R28vw&v=17.59725,9.08731,0,latLng&t=0.00&startDwell=0&endDwell=0ps=50&l=bdrk,uf&bt=20000101&et=20151231			Story by: Robert Muggah <br> Data from: Igarapé Institute, UMD, UCDP, Google																	
City Lights				Cities are the anchors of human civilization. By 2050, an estimated three quarters of humanity will live in one. While offering opportunities for prosperity, cities of tomorrow will also confront monumental challenges associated with poverty, inequality and fragility. Red areas represent increased lights at night.	https://earthtime.org/#theme=default&story=default&waypoints=1ObAomZ0Y6t5-ztD6wVibyA1fVC09scfQIzj033R28vw&v=37.92784,-3.36529,0.173,latLng&t=1.93&startDwell=0&endDwell=0ps&l=blsat,lan&bt=20000101&et=20151231&ps=50																				
Urban Fragility				This data represents every city in the world with a population of 250,000 or more. Some are more fragile than others, as represented by the larger, darker circles. 	https://earthtime.org/#theme=default&story=default&waypoints=1ObAomZ0Y6t5-ztD6wVibyA1fVC09scfQIzj033R28vw&v=17.59725,9.08731,0,latLng&t=0.00&ps=50&l=bdrk,uf&bt=20000101&et=20151231																				
Regional Fragility				Fragility occurs when the city’s social contract starts to unravel. It is due to a disequilibrium of expectations between the public authorities and citizens.  Notice the changes in fragility over time and region.	https://earthtime.org/#theme=default&story=default&waypoints=1ObAomZ0Y6t5-ztD6wVibyA1fVC09scfQIzj033R28vw&v=17.59725,9.08731,0,latLng&t=0.00&ps=50&l=bdrk,uf&bt=20000101&et=20151231																				
Importance				Fragile cities are a risk not just to their residents, but also to entire countries and regions.	https://earthtime.org/#theme=default&story=default&waypoints=1ObAomZ0Y6t5-ztD6wVibyA1fVC09scfQIzj033R28vw&v=17.59725,9.08731,0,latLng&t=0.00&ps=50&l=bdrk,uf&bt=20000101&et=20151231																				
Africa & Asia				Especially in those parts of the world where urbanization is proceeding at breakneck speed, as in Africa and Asia. Here, cities are urbanizing before they industrialize, which can quickly overwhelm their abilities to deliver services.	https://earthtime.org/#theme=default&story=default&waypoints=1ObAomZ0Y6t5-ztD6wVibyA1fVC09scfQIzj033R28vw&v=3.23065,28.79281,2,latLng&t=0.88&ps=50&l=bdrk,uf&bt=20000101&et=20151231																				
Multiple Stresses				Fragility cannot be readily boiled down to a single risk factor, such as murder rates, lack of potable water, or pollution. Rather, fragility is more of a convergence of multiple stresses. As these risks accumulate, they undermine a city’s social contract and in extreme cases can push it to the brink of collapse. 	https://earthtime.org/#theme=default&story=default&waypoints=1ObAomZ0Y6t5-ztD6wVibyA1fVC09scfQIzj033R28vw&v=17.59725,9.08731,0,latLng&t=0.00&ps=50&l=bdrk,uf&bt=20000101&et=20151231																				
Fragility Changes				Notice how fragility changes over time as small blue circles (not very fragile) turn to big red circles (very fragile).	https://earthtime.org/#theme=default&story=default&waypoints=1ObAomZ0Y6t5-ztD6wVibyA1fVC09scfQIzj033R28vw&v=30.89875,49.21945,1,latLng&t=1.54&ps=50&l=bdrk,uf&bt=20000101&et=20151231																				
Unaffordable Cities				Cities are continuing to segregate according to race, income and social mobility. Even some of our most successful cities, while booming, are becoming unaffordable to the majority of people.	https://earthtime.org/#theme=default&story=default&waypoints=1ObAomZ0Y6t5-ztD6wVibyA1fVC09scfQIzj033R28vw&v=13.18571,-53.04656,1,latLng&t=1.54&ps=50&l=bdrk,uf&bt=20000101&et=20151231																				
Threats			Threats Facing Cities	Now we move to the threats facing cities.	https://earthtime.org/#theme=default&story=default&waypoints=1ObAomZ0Y6t5-ztD6wVibyA1fVC09scfQIzj033R28vw&v=17.59725,9.08731,0,latLng&t=0.00&ps=50&l=bdrk,uf&bt=20000101&et=20151231																				
Syria Displacement			Displacement in Syria	Prior to the 2011 start of civil war in Syria, instability grows in the region, represented by larger, darker circles. Since 2011, 5 million refugees have fled Syria, and there are another 6.5 million who are internally displaced.	https://earthtime.org/#theme=fragile_cities&story=default&waypoints=1vLYX7BUqZQaC3AAxy6oLwhHhiFWO62OtZvG9s0OGXt4&v=34.27786,41.7299,4.66,latLng&t=0.00&ps=50&l=bdrk,uf&bt=20000101&et=20151231																				
Sea Level Rise			Sea Level Rise 	With two-thirds of the world's cities on the coasts, sea level rises will generate devastation and flight.	https://earthtime.org/#theme=fragile_cities&story=default&waypoints=1vLYX7BUqZQaC3AAxy6oLwhHhiFWO62OtZvG9s0OGXt4&v=21.55169,99.68215,3.03,latLng&t=0.00&ps=50&l=blsat,slr4&bt=0&et=0.83																				
Deforestation 			Deforestation 	Cities are also at least partly responsible for devastating climate change. They are engines of consumption, including meat and agricultural products from the rural hinterlands. Massive forests - including the world's largest terrestrial carbon sinks - are being razed to make way for cattle and soy.	https://earthtime.org/#theme=default&story=default&waypoints=1ObAomZ0Y6t5-ztD6wVibyA1fVC09scfQIzj033R28vw&v=-11.30881,-58.97132,3.672,latLng&t=1.66&ps=50&l=blsat,aflg&bt=20000101&et=20151231																				
Amazon Rainforest			Deforestation 	The Amazon, for example, is disappearing (forest loss in red). This affects carbon capture and also upsets delicate cloud and rain patterns. This in turn can undermine water availability of cities, as we are seeing around the world.	https://earthtime.org/#theme=default&story=default&waypoints=1ObAomZ0Y6t5-ztD6wVibyA1fVC09scfQIzj033R28vw&v=-11.30881,-58.97132,3.672,latLng&t=1.66&ps=50&l=blsat,aflg&bt=20000101&et=20151231																				
Fires at Night			Carbon 	This data represents fires at night visible from space. Cities produce immense amounts of carbon. About 75% of all carbon emissions are from cities even though they cover less than 3% of the world's surface area and are home to 54% of the worlds population. Carbon is released by fires, flares, vehicle emissions, cement production and so much more.	https://earthtime.org/#theme=default&story=default&waypoints=1ObAomZ0Y6t5-ztD6wVibyA1fVC09scfQIzj033R28vw&v=37.06973,6.57916,0,latLng&t=22.12&ps=100&l=bdrk,viirs&bt=20000101&et=20151231																				
Solutions			Solutions	The good news is that decision makers are waking up to the risks of city fragility. And not a moment too soon: A broad understanding of urban risk is critical to developing appropriate solutions. There is growing investment not just in developing smarter cities, but also ones that are more resilient to multiple threats.	https://earthtime.org/#theme=default&story=default&waypoints=1ObAomZ0Y6t5-ztD6wVibyA1fVC09scfQIzj033R28vw&v=19.6071,-1.41337,0,latLng&t=0.59&ps=50&l=bdrk,uf&bt=20000101&et=20151231																				
Singapore			Singapore	Having a long term plan is key. Cities need to develop a plan and implement it. Singapore laid out a 50 year plan in 1971 and renews that plan every five years. Many cities are too busy dealing with daily emergencies to plan the work and work the plan.	https://earthtime.org/#theme=city_growth&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=1.39029,103.8071,9.624,latLng&t=1.00&ps=50&l=blsat&story=default&bt=19840101&et=20161231																				
Seoul			Seoul	Adopting solutions that solve multiple problems. Seoul has transitioned from mostly automotive transportation to 75 percent of its citizens taking public transportation. The result is less emissions, less traffic congestion, and a population that doubled in the last three decades without a major expansion of its global footprint.	https://earthtime.org/#theme=city_growth&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=37.55925,126.96796,10.032,latLng&t=0.15&ps=50&l=blsat&story=default&bt=19840101&et=20161231																				
